	Participant ID	Slide Nr.	Learning Style Dimension	Content per AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
1021	33	19.0	Input	Illustrations	2125	266.0	104.0	360.0	8	264.0	104.0	Illustrations	2,76759	1872	267.0	104.0	360.0	7	264.0	104.0	2,77083	2305	768.0	204.0	1413.0	3	264.0	688.0	2429	810.0	248.0	1449.0	3	220.0	732.0	0	5	220.0	952.0	204,71	234,99
1020	33	19.0	Input	Key words	1604	267.0	152.0	464.0	6	1004.0	184.0	Illustrations	2,82052	1604	267.0	152.0	464.0	6	1004.0	184.0	2,82052	1712	856.0	408.0	1304.0	2	1004.0	408.0	1804	902.0	460.0	1344.0	2	952.0	460.0	0	4	952.0	1412.0	234,99	251,03
1022	33	22.0	Process	Example	18004	281.0	72.0	820.0	64	31516.0	204.0	Exercise	2,84262	17472	282.0	72.0	820.0	62	31516.0	204.0	2,84547	20016	6672.0	820.0	15696.0	3	31516.0	3500.0	20140	6713.0	836.0	15764.0	3	31476.0	3540.0	0	57	31476.0	53480.0	201,71	429,5
1023	33	22.0	Process	Exercise	27033	268.0	64.0	1032.0	101	3121.0	168.0	Exercise	2,89518	26276	268.0	64.0	1032.0	98	3313.0	456.0	2,89303	32145	4592.0	640.0	16296.0	7	3121.0	3156.0	32341	4620.0	696.0	16344.0	7	3121.0	3156.0	0	82	6437.0	8917.0	55,43	154,58
1024	33	22.0	Process	Theory	14512	255.0	60.0	628.0	57	14513.0	416.0	Exercise	2,87764	13108	252.0	60.0	628.0	52	14513.0	416.0	2,88411	16672	16672.0	16672.0	16672.0	1	14513.0	16672.0	16704	16704.0	16704.0	16704.0	1	14481.0	16704.0	0	46	14481.0	31184.0	106,55	153,01
1026	33	25.0	Perception	Supporting text	14480	250.0	76.0	664.0	58	253.0	184.0	Multiple choice question	2,83771	12152	259.0	76.0	632.0	47	1097.0	208.0	2,83437	18256	2608.0	184.0	15820.0	7	253.0	184.0	18520	2646.0	228.0	15896.0	7	197.0	240.0	0	37	197.0	2433.0	361,54	83,49
1025	33	25.0	Perception	Multiple choice question	28737	271.0	120.0	936.0	106	1633.0	312.0	Multiple choice question	2,79553	27324	271.0	120.0	936.0	101	24705.0	140.0	2,7946	32709	16354.0	312.0	32397.0	2	1633.0	312.0	32809	16404.0	312.0	32497.0	2	1633.0	312.0	0	96	24605.0		408,27	
1027	33	28.0	Perception	Multiple choice question	9320	190.0	64.0	560.0	49	278.0	236.0	Multiple choice question	2,8374	9252	193.0	64.0	560.0	48	278.0	236.0	2,83773	11992	2998.0	436.0	7568.0	4	278.0	1240.0	12168	3042.0	452.0	7648.0	4	230.0	1288.0	0	31	230.0	1518.0	366,3	45,29
1028	33	28.0	Perception	Supporting text	21444	258.0	64.0	676.0	83	6602.0	136.0	Multiple choice question	2,77947	18308	282.0	84.0	676.0	65	6765.0	128.0	2,78265	26236	5247.0	184.0	19132.0	5	6602.0	5124.0	26440	5288.0	220.0	19212.0	5	6602.0	5124.0	0	55	31533.0	31157.0	95,3	129,08
1029	33	31.0	Perception	First additional material	14392	244.0	64.0	860.0	59	1183.0	208.0	First additional material	2,87132	13848	243.0	64.0	860.0	57	5187.0	300.0	2,87008	16840	5613.0	136.0	16072.0	3	1183.0	632.0	16964	5655.0	196.0	16112.0	3	1159.0	656.0	0	51	5147.0	21258.0	415,13	402,62
